kepid,koi_steff,koi_srad,ra,dec,koi_kepmag,koi_time0bk,koi_impact,koi_prad,koi_period,koi_duration,koi_disposition
5471690,6638.0,2.445,297.72531,40.640789,12.876,132.21629,0.0916,1.12,0.962815183,2.581,FALSE POSITIVE
3937814,5375.0,0.876,286.05243,39.09605,15.188,134.68026,0.2652,1.78,10.72900793,0.696,CANDIDATE
3937814,5323.0,0.995,286.05243,39.09605,15.188,135.10435,0.781,1.55,8.19619768,2.109,CANDIDATE
5078025,5904.0,0.867,283.72379,40.23756,15.034,131.52676,1.123,12.63,0.696290095,3.839,FALSE POSITIVE
3733638,5768.0,2.81,287.22351,38.817612,13.472,140.0456,0.006,1.98,10.0714369,6.891,CANDIDATE
3746248,6661.0,1.29,291.2598,38.897999,12.92,131.68393,0.0908,1.63,0.62240698,1.186,FALSE POSITIVE
3748855,5823.0,0.919,291.93356,38.827202,14.701,134.0424,0.5757,1.03,6.72876606,2.277,CANDIDATE
3757588,5354.0,0.804,294.1434,38.893162,14.94,154.285323,0.946,9.39,24.09002065,11.0494,FALSE POSITIVE
3766353,6609.0,0.974,296.05377,38.89426,13.968,133.719065,1.276,40.68,2.666961614,2.4774,FALSE POSITIVE
5019567,7537.0,2.145,294.18454,40.150372,12.08,131.7601,0.9744,2.22,1.17430183,9.587,FALSE POSITIVE
5021432,,,294.6561,40.13726,13.697,136.7555724,,,14.05652256,2.56,CANDIDATE
5021732,6410.0,1.178,294.7312,40.15049,13.623,144.137252,0.998,51.71,15.039464523,5.39796,FALSE POSITIVE
5022900,5584.0,0.885,295.01114,40.151402,15.87,131.682,0.563,0.83,1.05680287,5.748,FALSE POSITIVE
5024126,5210.0,0.799,295.27374,40.133659,15.626,131.73687,1.211,20.76,0.787122102,3.0999,FALSE POSITIVE
5024268,4899.0,18.92,295.29596,40.186569,11.359,132.32499,0.3604,24.27,2.15045295,4.453,FALSE POSITIVE
5633259,,,295.55298,40.877991,15.341,286.7429498,,,315.07717192,10.31,CANDIDATE
5647638,6234.0,2.5,298.64252,40.838909,13.333,132.4476,0.991,1.92,1.21607873,4.686,FALSE POSITIVE
5653126,6050.0,2.345,299.702,40.896271,13.173,152.84943,1.013,124.34,38.49536985,12.8716,FALSE POSITIVE
5686974,6057.0,0.999,284.87558,40.984428,13.732,134.0885,0.99,1.07,4.18224416,6.209,FALSE POSITIVE
5696909,5681.0,1.036,289.07111,40.978809,14.984,131.689685,1.261,36.82,0.643002821,1.02608,FALSE POSITIVE
5697628,4936.0,0.628,289.30341,40.924229,15.105,133.3951,0.1533,0.47,1.95119541,1.907,FALSE POSITIVE
6614748,6675.0,1.293,294.28693,42.032791,15.232,426.5941,0.5927,2.78,383.85362,9.76,CANDIDATE
6628926,6274.0,1.428,297.62299,42.09882,14.121,134.2733914,0.166,7.27,2.564012541,0.9433,CANDIDATE
6629156,,,297.66974,42.08886,14.67,131.5505,,,0.71538172,5.0,FALSE POSITIVE
6636020,5713.0,0.856,299.02518,42.061729,15.703,143.4753,0.1819,2.04,18.3602239,2.352,FALSE POSITIVE
6665064,5761.0,0.956,281.64999,42.132061,15.183,144.9693,0.409,2.4,24.996068,5.623,FALSE POSITIVE
6670610,4183.0,0.594,284.27499,42.123779,15.537,137.26373,0.088,0.89,8.9429645,1.803,CANDIDATE
7447895,5450.0,0.83,292.72079,43.076809,14.709,133.14221,0.467,1.11,2.405625303,0.6283,CANDIDATE
7456521,5956.0,0.929,295.09634,43.047981,14.973,484.260879,0.653,56.89,552.8295063,16.0851,FALSE POSITIVE
7461314,5973.0,0.935,296.23856,43.02179,14.882,132.08776,0.612,0.96,0.773595312,0.781,FALSE POSITIVE
7461521,6296.0,1.35,296.28384,43.033981,14.752,132.1961,0.336,1.87,0.7735301,1.335,CANDIDATE
7537660,,,294.6015,43.159935,13.583,132.7886605,,,2.42186898,6.22,CANDIDATE
7541502,5160.0,3.279,295.57651,43.190327,11.56,173.4103489,1.494,429.0,44.827323809,6.86103,FALSE POSITIVE
8285254,4969.0,0.537,285.56534,44.29525,15.398,137.781231,0.644,24.64,7.535894184,8.3059,FALSE POSITIVE
8285970,5638.0,0.933,285.95874,44.254719,14.792,131.750623,0.971,2.88,0.562498925,0.6743,FALSE POSITIVE
8294484,6487.0,1.233,289.94028,44.225719,14.713,132.44896,0.534,42.51,1.012694226,3.6017,FALSE POSITIVE
8301013,6604.0,1.526,292.29675,44.280571,13.3,133.1692046,0.371,94.23,2.214029545,5.64264,FALSE POSITIVE
8302455,6078.0,2.059,292.8627,44.22105,11.535,132.1323834,0.888,90.39,2.441988077,3.94526,FALSE POSITIVE
9203154,5120.0,0.853,284.12521,45.628052,15.695,131.69426,0.23,0.92,0.839907158,1.019,CANDIDATE
9205993,7358.0,1.637,285.72537,45.666431,14.871,132.12417,0.229,135.43,1.219736039,4.89465,FALSE POSITIVE
9210828,5033.0,0.655,288.44455,45.612671,13.221,131.581313,0.94,35.67,0.82820657,2.70353,FALSE POSITIVE
9221627,6544.0,1.207,293.17194,45.677391,15.02,132.989,0.159,2.32,1.7613778,1.355,CANDIDATE
9266285,4504.0,0.709,284.31046,45.76955,14.072,132.572901,1.07,34.24,5.61386908,5.07753,FALSE POSITIVE
10026136,6461.0,1.131,297.17203,46.953949,15.163,136.8170208,0.614,76.4,9.080194398,8.18777,FALSE POSITIVE
